txn_id,source,razorpay_payment_id,order_id,txn_amount,payment_method,created_at,day_of_week,is_weekend_or_holiday,merchant_category,had_dispute_flag,had_refund,refund_amount,gst_on_fee_flag,fee_amount,fee_amount_pending,tax_on_fee,fee_pct,days_to_settle,deduction_pct,settled_at,status,true_tax_category
TXN00884,synthetic,,order_synth_884,3827.79,card,2025-06-01T00:06:46,6,True,retail,False,False,0.0,True,89.53,False,16.12,0.0234,4,0.0276,2025-06-05T06:06:46,settled,gst_on_fee
TXN00106,synthetic,,order_synth_106,10130.91,upi,2025-06-01T02:13:51,6,True,food_delivery,False,False,0.0,True,9.67,False,1.74,0.001,3,0.0011,2025-06-04T06:13:51,settled,gst_on_fee
TXN01922,synthetic,,order_synth_1922,22460.24,upi,2025-06-01T02:47:58,6,True,food_delivery,False,False,0.0,True,114.46,False,20.6,0.0051,3,0.006,2025-06-04T06:47:58,settled,gst_on_fee
TXN01863,synthetic,,order_synth_1863,200.18,card,2025-06-01T04:54:23,6,True,saas,False,False,0.0,True,3.96,False,0.71,0.0198,3,0.0233,2025-06-04T21:54:23,settled,gst_on_fee
TXN00439,synthetic,,order_synth_439,23630.03,card,2025-06-01T04:57:25,6,True,saas,False,False,0.0,True,444.31,False,79.98,0.0188,2,0.0222,2025-06-03T08:57:25,settled,gst_on_fee
TXN00262,synthetic,,order_synth_262,15928.74,card,2025-06-01T05:39:00,6,True,travel,False,False,0.0,True,292.43,False,52.64,0.0184,3,0.0217,2025-06-04T11:39:00,settled,gst_on_fee
TXN00299,synthetic,,order_synth_299,744.08,netbanking,2025-06-01T05:59:14,6,True,food_delivery,False,False,0.0,True,12.23,False,2.2,0.0164,3,0.0194,2025-06-05T00:59:14,settled,gst_on_fee
TXN01441,synthetic,,order_synth_1441,9803.08,upi,2025-06-01T06:27:11,6,True,retail,False,False,0.0,True,0.0,False,0.0,0.0,2,0.0,2025-06-04T01:27:11,settled,taxable_sale
TXN00705,synthetic,,order_synth_705,18662.35,upi,2025-06-01T06:39:42,6,True,food_delivery,False,False,0.0,True,9.92,False,1.79,0.0005,3,0.0006,2025-06-04T15:39:42,settled,gst_on_fee
TXN01833,synthetic,,order_synth_1833,7591.89,upi,2025-06-01T07:48:08,6,True,travel,False,False,0.0,False,0.0,False,0.0,0.0,1,0.0,2025-06-02T13:48:08,settled,exempt
TXN00247,synthetic,,order_synth_247,8996.24,upi,2025-06-01T08:33:14,6,True,travel,False,False,0.0,False,1.29,False,0.0,0.0001,2,0.0001,2025-06-03T14:33:14,settled,exempt
TXN00185,synthetic,,order_synth_185,24622.46,upi,2025-06-01T08:39:00,6,True,ecommerce,False,False,0.0,True,44.04,False,7.93,0.0018,4,0.0021,2025-06-05T14:39:00,settled,gst_on_fee
TXN01686,synthetic,,order_synth_1686,11904.89,netbanking,2025-06-01T11:09:35,6,True,retail,False,False,0.0,True,226.83,False,40.83,0.0191,3,0.0225,2025-06-05T00:09:35,settled,gst_on_fee
